Country,ConfirmedCases,Deaths,Population
Peru,2074186,193909,32510520.5800989
Hungary,808437,30004,9770107.45685444
Bosnia and Herzegovina,205047,9667,3301007.34164248
Czech Republic,1668891,30331,10669785.7670525
San Marino,5092,90,33860.0451467269
North Macedonia,155770,5487,2083459.90279465
Montenegro,100430,1620,622143.70751565
Bulgaria,422414,18138,6975885.54286374
Brazil,19020499,531688,211045925.455484
Moldova,257343,6207,2657675.01605652
Slovakia,391852,12517,5454030.50108933
Colombia,4471622,111731,50338349.2521175
Belgium,1093700,25198,11483912.1319843
Argentina,4627537,98148,44939560.4395604
Italy,4268491,127756,60296394.185388
Slovenia,257703,4423,2087995.09040268
Croatia,360680,8226,4067444.62025316
Poland,2880670,75152,37970897.3322555
Paraguay,435522,13806,7044596.38738647
United Kingdom,5075945,128631,66835186.5322664
United States,33838746,606993,328246268.656716
Mexico,2577140,234675,127575428.105463
Chile,1582391,33636,18951994.5909398
Romania,1081174,34197,19356427.2372219
Spain,3937192,81003,47075608.7638752
Uruguay,375902,5790,3461676.43190243
Portugal,902489,17142,10269590.2228613
France,5865767,111492,67058823.5294118
Andorra,14075,127,77142.6835935127
Lithuania,279094,4396,2786864.46050463
Panama,413626,6614,4246548.95666132
Liechtenstein,3054,59,38017.913525356
Armenia,226135,4540,2957654.72312704
Bolivia,451224,17126,11513277.3109244
Georgia,374836,5421,3720403.54128063
Sweden,1092540,14643,10285172.4380136
Tunisia,481735,16050,11694841.1541825
Latvia,137831,2536,1912807.361593
Luxembourg,72010,819,619891.008174387
Switzerland,704943,10898,8575025.57242899
Kosovo,107835,2268,1794303.79746835
Ecuador,467073,21803,17374292.7723325
Ukraine,2309264,54917,44384546.9974945
Austria,651291,10722,8877297.56582216
Greece,435018,12761,10716325.1595566
Lebanon,547170,7871,6855674.5928055
Germany,3742355,91232,83134681.9755787
South Africa,2157687,63873,58556105.6105611
Netherlands,1736666,18048,17332180.9276865
Iran,3344122,85543,82914606.9593874
Serbia,717403,7067,6944772.01257862
Ireland,276735,5006,4941269.3712368
Suriname,23169,568,581371.545547595
Jordan,755948,9818,10101862.3315156
Russia,5664200,139156,144367672.995124
Estonia,131396,1270,1326647.86378356
